Facility,Level,Capacity
cedar junction,Maximum,555
souza,Maximum,1024
treatment center,Medium,561
cedar junction,Medium,78
mci concord,Medium,614
mci framingham,Medium,452
mci norfolk,Medium,1084
shirley,Medium,720
ncci gardner,Medium,568
old colony,Medium,480
Shattuck Correctional Unit,Medium,24
State Hospital @ Bridgewater,Medium,227
mci plymouth,Minimum,151
shirley,Minimum,299
ncci gardner,Minimum,30
old colony,Minimum,100
boston pre release,Minimum,150
northeastern correctional,Minimum,150
Pondville Correctional Center,Minimum,100
south middlesex correction,Minimum,125
Bristol Ash Street,,206
Bristol Dartmouth,,304
Bristol Women’s Center,,56
Essex Middleton,,1291
Essex W.I.T.,,23
Essex LCAC,,340
Hampden HOC,,1178
Hampden WMCAC,,148
Hampden Women’s Ce,,306
Suffolk Nashua Street,,453
Suffolk South Bay,,1796
